title,price,description,category,image_url,origin,flavour_notes,in_stock
Earl Grey,18.99,"Classic black tea infused with aromatic bergamot oil. A timeless favorite with citrus notes and a smooth, refined finish.",black,/teas/earl-grey.jpg,"Sri Lanka","Bergamot|Citrus|Floral",true
Masala Chai,16.99,"Bold Assam black tea blended with traditional Indian spices. Warm, aromatic, and perfect with milk.",black,/teas/masala-chai.jpg,"Assam, India","Cardamom|Cinnamon|Clove|Ginger",true
Rose Black Tea,22.99,"Elegant black tea layered with dried rose petals. Romantic, fragrant, and subtly sweet.",black,/teas/rose-black.jpg,"Fujian, China","Rose|Floral|Sweet",true
Vanilla Black Tea,17.99,"Smooth Ceylon black tea with natural vanilla bean essence. Creamy, comforting, and aromatic.",black,/teas/vanilla-black.jpg,"Sri Lanka","Vanilla|Creamy|Sweet",true
Caramel Black Tea,18.99,"Rich black tea with buttery caramel notes. Indulgent, smooth, and dessert-like.",black,/teas/caramel-black.jpg,"Sri Lanka","Caramel|Buttery|Sweet",true
Lemon Black Tea,15.99,"Bright and zesty black tea with natural lemon flavoring. Refreshing and uplifting.",black,/teas/lemon-black.jpg,"Sri Lanka","Lemon|Citrus|Bright",true
Orange Peel Black Tea,16.99,"Aromatic black tea blended with dried orange peel. Citrusy, warm, and invigorating.",black,/teas/orange-black.jpg,"Sri Lanka","Orange|Citrus|Zesty",true
Chocolate Black Tea,19.99,"Decadent black tea with rich cocoa notes. A chocolate lover's dream in a cup.",black,/teas/chocolate-black.jpg,"Sri Lanka","Chocolate|Cocoa|Rich",true
Honey Black Tea,17.99,"Sweet and smooth black tea with natural honey essence. Comforting and naturally sweet.",black,/teas/honey-black.jpg,"Sri Lanka","Honey|Sweet|Smooth",true
Ginger Black Tea,16.99,"Warming black tea with spicy ginger kick. Invigorating, bold, and perfect for cold days.",black,/teas/ginger-black.jpg,"Assam, India","Ginger|Spicy|Warming",true
Lemon Green Tea,14.99,"Light and refreshing green tea with bright lemon notes. Perfect for a morning boost.",green,/teas/lemon-green.jpg,"China","Lemon|Citrus|Fresh",true
Mint Green Tea,15.99,"Cool and invigorating green tea with fresh spearmint. Refreshing and cleansing.",green,/teas/mint-green.jpg,"Morocco","Mint|Cool|Fresh",true
Honey Green Tea,16.99,"Delicate green tea sweetened with natural honey essence. Smooth and naturally sweet.",green,/teas/honey-green.jpg,"China","Honey|Sweet|Floral",true
Ginger Green Tea,15.99,"Energizing green tea with warming ginger root. Digestive-friendly and stimulating.",green,/teas/ginger-green.jpg,"Japan","Ginger|Warming|Spicy",true
